base_date,time,emd_nm,age,resd_pop_cnt,visit_pop_cnt
20190105,1,제주시 건입동,0,846.4641,290.2094
20190105,1,제주시 건입동,10,957.8132,336.1007
20190105,1,제주시 건입동,20,878.8359,603.2925
20190105,1,제주시 건입동,30,902.8957,536.5335
20190105,1,제주시 건입동,40,1454.472,795.8546
20190105,1,제주시 건입동,50,1605.7837,614.0674
20190105,1,제주시 건입동,60,1144.4367,339.586
20190105,1,제주시 건입동,70,679.3608,137.1879
20190105,1,제주시 건입동,80,344.7602,73.8059
20190105,1,제주시 구좌읍,0,1030.6199,367.5352
20190105,1,제주시 구좌읍,10,1154.0476,428.3142
20190105,1,제주시 구좌읍,20,928.1883,906.6024
20190105,1,제주시 구좌읍,30,1476.2917,730.3895
20190105,1,제주시 구좌읍,40,2308.755,578.6387
20190105,1,제주시 구좌읍,50,2460.6883,506.6031
20190105,1,제주시 구좌읍,60,1694.315,252.0308
20190105,1,제주시 구좌읍,70,937.2839,60.361
20190105,1,제주시 구좌읍,80,717.9773,32.2641
20190105,1,제주시 노형동,0,6378.1328,999.851
20190105,1,제주시 노형동,10,9327.1641,1153.1022
20190105,1,제주시 노형동,20,6081.1447,2134.2533
20190105,1,제주시 노형동,30,6985.685,1550.3927
20190105,1,제주시 노형동,40,11993.2051,1758.1601
20190105,1,제주시 노형동,50,10723.488,1635.5211
20190105,1,제주시 노형동,60,4789.3984,864.0207
20190105,1,제주시 노형동,70,2055.5857,408.2677
20190105,1,제주시 노형동,80,1069.5645,229.8141
20190105,1,제주시 도두동,0,112.2313,126.7197
20190105,1,제주시 도두동,10,132.0473,144.3273
20190105,1,제주시 도두동,20,119.4563,308.9343
20190105,1,제주시 도두동,30,185.8968,283.429
20190105,1,제주시 도두동,40,249.0902,424.7998
20190105,1,제주시 도두동,50,375.3929,390.4715
20190105,1,제주시 도두동,60,236.103,200.9209
20190105,1,제주시 도두동,70,75.7238,52.6797
20190105,1,제주시 도두동,80,69.8953,28.496
20190105,1,제주시 봉개동,0,567.2775,178.978
20190105,1,제주시 봉개동,10,444.8977,210.09
20190105,1,제주시 봉개동,20,488.4201,319.9203
20190105,1,제주시 봉개동,30,679.6489,317.977
20190105,1,제주시 봉개동,40,776.2719,500.8944
20190105,1,제주시 봉개동,50,792.9717,494.9945
20190105,1,제주시 봉개동,60,572.2664,240.7886
20190105,1,제주시 봉개동,70,206.3332,71.3383
20190105,1,제주시 봉개동,80,145.2116,37.4655
