읍면동,주차수요량,WiFi 접속자수,카드이용자수,사업체수
이도동,611949,4783256,4538944,6694
연동,412007,3126565,4303620,4649
노형동,387717,4834174,4562480,4476
애월읍,428583,939748,2262602,2514
한림읍,189709,450801,1377325,2174
용담동,322347,2471079,3467293,1918
아라동,241003,1552059,2301873,2049
일도동,240915,3617973,2448666,3536
구좌읍,162620,565136,952715,1738
조천읍,246395,1677427,1589216,1873
삼도동,217175,2143600,1409400,2396
오라동,220864,300518,854466,978
삼양동,92659,638591,1042792,1000
화북동,160509,1346005,1025585,1546
도두동,67830,141161,441864,991
외도동,88058,994026,944828,1185
건입동,124151,1018933,763641,750
이호동,59487,114543,269222,281
봉개동,83754,393438,362387,269
