읍면동,주차수요량,WiFi 접속자수,카드이용자수,사업체수,총인구수
이호동,92320,114543,269222,281,4654
도두동,109486,141161,441864,991,3257
봉개동,125338,393438,362387,269,4936
외도동,126119,994026,944828,1185,21741
삼양동,131851,638591,1042792,1000,25153
건입동,188864,1018933,763641,750,9857
화북동,217816,1346005,1025585,1546,25391
구좌읍,244206,565136,952715,1738,16283
한림읍,289376,450801,1377325,2174,25003
오라동,306129,300518,854466,978,14906
아라동,311332,1552059,2301873,2049,34321
삼도동,319379,2143600,1409400,2396,23007
일도동,330199,3617973,2448666,3536,37677
조천읍,365507,1677427,1589216,1873,24718
용담동,432139,2471079,3467293,1918,23283
노형동,540207,4834174,4562480,4476,56223
연동,570989,3126565,4303620,4649,43217
애월읍,658186,939748,2262602,2514,36550
이도동,835605,4783256,4538944,6694,58126
