,읍면동,주차수요량,카드이용자수,사업체수,WiFi 접속자수,군집
0,이호동,92320,269222,281,114543,1
1,도두동,109486,441864,991,141161,1
2,봉개동,125338,362387,269,393438,1
3,외도동,126119,944828,1185,994026,1
4,삼양동,131851,1042792,1000,638591,1
5,건입동,188864,763641,750,1018933,1
6,화북동,217816,1025585,1546,1346005,1
7,구좌읍,244206,952715,1738,565136,1
8,한림읍,289376,1377325,2174,450801,1
9,오라동,306129,854466,978,300518,1
10,아라동,311332,2301873,2049,1552059,3
11,삼도동,319379,1409400,2396,2143600,3
12,일도동,330199,2448666,3536,3617973,3
13,조천읍,365507,1589216,1873,1677427,3
14,용담동,432139,3467293,1918,2471079,3
15,노형동,540207,4562480,4476,4834174,2
16,연동,570989,4303620,4649,3126565,2
17,애월읍,658186,2262602,2514,939748,3
18,이도동,835605,4538944,6694,4783256,2
