소재지, 관용 , 자가용 , 영업용 , 합계 ,승용,승합,화물,특수
한림읍, 79 ," 12,299 ", 283 ," 12,661 ","8,548 ",405 ,"3,675 ",33 
애월읍, 79 ," 21,914 "," 1,157 "," 23,150 ","15,913 ","1,382 ","5,759 ",96 
구좌읍, 26 ," 9,046 ", 170 ," 9,242 ","6,189 ",293 ,"2,747 ",13 
조천읍, 114 ," 14,241 ", 459 ," 14,814 ","10,309 ",539 ,"3,928 ",38 
한경면, 20 ," 5,736 ", 129 ," 5,885 ","3,656 ",151 ,"2,070 ",8 
추자면, 16 , 788 , 5 , 809 ,473 ,43 ,292 ,1 
우도면, 11 ," 1,067 ", 148 ," 1,226 ",835 ,86 ,301 ,4 
일도1동, 4 , 938 , 19 , 961 ,680 ,37 ,242 ,2 
일도2동, 10 ," 14,401 ", 501 ," 14,912 ","12,141 ",382 ,"2,332 ",57 
이도1동, 9 ," 3,020 ", 52 ," 3,081 ","2,450 ",129 ,492 ,10 
이도2동, 567 ," 22,937 "," 21,812 "," 45,316 ","40,356 ","1,024 ","3,816 ",120 
삼도1동, 10 ," 5,464 "," 9,844 "," 15,318 ","14,155 ",187 ,960 ,16 
삼도2동, 28 ," 3,372 ", 148 ," 3,548 ","2,679 ",149 ,713 ,7 
용담1동, 6 ," 3,084 ", 275 ," 3,365 ","2,499 ",136 ,723 ,7 
용담2동, 29 ," 6,515 "," 15,325 "," 21,869 ","19,265 ","1,223 ","1,353 ",28 
건입동, 38 ," 3,899 ", 281 ," 4,218 ","3,084 ",138 ,964 ,32 
화북동, 9 ," 13,256 "," 1,252 "," 14,517 ","10,804 ",565 ,"3,081 ",67 
삼양동, 12 ," 12,495 ", 671 ," 13,178 ","10,257 ",355 ,"2,500 ",66 
봉개동, 9 ," 3,860 ", 106 ," 3,975 ","2,870 ",149 ,940 ,16 
아라동, 98 ," 18,629 ", 855 ," 19,582 ","15,317 ",829 ,"3,348 ",88 
오라동, 31 ," 9,210 "," 2,838 "," 12,079 ","9,286 ","1,010 ","1,715 ",68 
연동, 347 ," 47,201 "," 127,695 "," 175,243 ","167,991 ","3,565 ","3,615 ",72 
노형동, 61 ," 25,612 "," 39,101 "," 64,774 ","59,524 ","1,373 ","3,761 ",116 
외도동, 11 ," 11,032 ", 934 ," 11,977 ","9,342 ",416 ,"2,162 ",57 
이호동, 7 ," 2,628 "," 2,284 "," 4,919 ","3,934 ",293 ,671 ,21 
도두동, 6 ," 2,059 "," 7,741 "," 9,806 ","8,627 ",643 ,532 ,4 
총계," 1,637 "," 274,703 "," 234,085 "," 510,425 "," 441,184 "," 15,502 "," 52,692 "," 1,047 "
