name,value
"노형동","2591152",
"서귀동","2270475",
"연동","1702776",
"일도2동","1524817",
"이도2동","1455341",
"용담2동","1067146",
"성산읍","1011976",
"동홍동","996541",
"서홍동","975490",
"법환동","930652",
"도남동","869427",
"조천읍","863303",
"화북1동","858626",
"건입동","821032",
"안덕면","768659",
"이도일동","750992",
"아라1동","710296",
"이도이도","707023",
"중문동","695676",
"애월읍","695233",
"삼도이동","684409",
"표선면","676046",
"이도1동","584394",
"아라2동","568809",
"일도이동","551178",
"구좌읍","534957",
"대정읍","529883",
"삼도1동","515924",
"일도일동","421646",
"한림읍","420383",
"색달동","389386",
"봉개동","365427",
"일도1동","356614",
"남원읍","354457",
"용담일동","351409",
"삼양2동","347760",
"화북2동","338543",
"외도1동","318694",
"토평동","283764",
"용담1동","276242",
"이도이동","274817",
"한경면","271661",
"아라일동","227078",
"아라이동","213298",
"외도이동","190970",
"대포동","185452",
"호근동","178355",
"외도2동","169002",
"삼도2동","164619",
"영평동","152924",
"삼도일동","126208",
"오라1동","115860",
"강정동","113567",
"하효동","111674",
"삼양일동","108627",
"우도면","95615",
"월평동","94758",
"아라동","83495",
"용담삼동","83245",
"용담3동","61185",
"상효동","57746",
"오라일동","54714",
"서귀","53263",
"도두동","52102",
"이호1동","50526",
"대륜동","44159",
"상예동","43614",
"이호일동","39709",
"삼양1동","36867",
"도련1동","33446",
"외도동","31217",
"회수동","30342",
"용담이동","27120",
"삼양이동","26391",
"오라이동","26147",
"영천동","24363",
"외도일동","24270",
"도두일동","23419",
"납원읍","20963",
"표선읍","20961",
"용강동","18907",
"삼양동","14464",
"해안동","12445",
"신효동","9817",
"하원동","9225",
"이호동","8279",
"화북동","6981",
"하예동","6851",
"오등동","6710",
"보목동","6267",
"예래동","5536",
"도순동","1755",
"삼양삼동","1452",
