주차장,주소,유형(유료/무료/민영),경도,위도,시군구,법정동,면수
용두암 주차장,제주시 용담이동 483,유료,261955,103108,제주시,용담이동,62
공항입구주차장,제주시 용담이동 1611,유료,260392,101927,제주시,용담이동,379
탐동제2주차장,제주시 삼도이동 1257,유료,262692,103462,제주시,삼도이동,107
칠성골,제주시 삼도이동 1192-8,유료,263186,103254,제주시,삼도이동,80
고산동산주차장,제주시 이도이동 1012-10,유료,263733,100934,제주시,이도이동,51
신제주공영주차장,제주시 연동 272-31,유료,260011,100254,제주시,연동,242
인제주차장,제주시 일도이동 409-11,유료,264724,101937,제주시,일도이동,125
제일주차빌딩,제주시 일도일동 1476-33,유료,263316,102923,제주시,일도일동,92
법원 북측,제주시 이도이동 1066,유료,264093,100825,제주시,이도이동,91
동문재래시장,제주시 이도일동 1330-5,유료,263261,102624,제주시,이도일동,38
성신로,제주시 연동 2322-7,유료,259507,100483,제주시,연동,55
칠성상가제1,제주시 일도일동 1476-1,유료,263293,102988,제주시,일도일동,16
광양초 서측 주차장,제주시 이도일동 1257-4,유료,263508,101691,제주시,이도일동,45
칠성상가제2,제주시 일도일동 1401-13,유료,263048,102975,제주시,일도일동,14
이도2동주민센터 앞,제주시 이도이동 1052-2,유료,264061,101055,제주시,이도이동,150
동문버스주차,제주시 일도일동 1104,유료,263496,102757,제주시,일도일동,12
동문주차빌딩,제주시 일도일동 1103,유료,263459,102773,제주시,일도일동,219
관덕정서측,제주시 삼도이동 1024,유료,262762,102925,제주시,삼도이동,36
탑동제1주차장,제주시 삼도이동 1263,유료,263093,103340,제주시,삼도이동,66
노형 제1,제주시 노형동 1282-1,유료,258727,99976,제주시,노형동,64
노형 제2,제주시 노형동 1290-3,유료,258924,100076,제주시,노형동,43
노형 제3,제주시 노형동 1043-1,유료,258619,100335,제주시,노형동,45
노형동주민센터 서측,제주시 노형동 3793,유료,258641,99635,제주시,노형동,57
북수구,제주시 일도일동 1226,유료,263420,103026,제주시,일도일동,51
산짓물,제주시 건입동 1334,유료,263509,103177,제주시,건입동,71
칠억조전용 주차장,제주시 노형동 1289-6,민영,258906,100030,제주시,노형동,16
노드주차장,제주시 노형동 733,민영,259589,99398,제주시,노형동,16
런던빌딩부설유료주차장,제주시 노형동 1047-1,민영,258908,100536,제주시,노형동,36
노형로터리 주차장,제주시 노형동 1288-3,민영,258786,99962,제주시,노형동,24
정은유료주차장,제주시 노형동 916-1,민영,259468,100021,제주시,노형동,30
마농제주본점,제주시 노형동 1287-3,민영,258741,99879,제주시,노형동,12
제주시 노형동 신비의도로,제주시 노형동 291-2,민영,259544,95996,제주시,노형동,54
제민신협주차장,제주시 삼도2동 92,민영,262983,102829,제주시,삼도이동,36
이마트유니코주차장,제주시 삼도이동 1258,민영,262819,103483,제주시,삼도이동,250
진송주차장,제주시 삼도일동 519,민영,262485,101470,제주시,삼도일동,13
로얄주차장,제주시 연동 282-14,민영,260123,100237,제주시,연동,63
연동주차장,제주시 연동 263-11,민영,259836,99763,제주시,오라일동,28
ABC주차장,제주시 연동 271-17,민영,259970,100377,제주시,오라일동,20
터미널주차장,제주시 오라1동 2441-3,민영,262160,101400,제주시,오라일동,23
한영주차장,제주시 오라동 2440-12,민영,262078,101393,제주시,오라동,21
공항로주차장,제주시 용담2동 2617-1,민영,261588,101598,제주시,용담이동,20
