코드,시도,시군구,읍면동,위도,경도,코드종류
5011010100,제주특별자치도,제주시,일도일동,33.512844,126.527652,B
5011010200,제주특별자치도,제주시,일도이동,33.508137,126.53859,B
5011010300,제주특별자치도,제주시,이도일동,33.505865,126.527676,B
5011010400,제주특별자치도,제주시,이도이동,33.496638,126.537163,B
5011010500,제주특별자치도,제주시,삼도일동,33.502797,126.519479,B
5011010600,제주특별자치도,제주시,삼도이동,33.51093,126.521362,B
5011010700,제주특별자치도,제주시,건입동,33.515529,126.536069,B
5011010800,제주특별자치도,제주시,용담일동,33.508096,126.514764,B
5011010900,제주특별자치도,제주시,용담이동,33.507958,126.507419,B
5011011000,제주특별자치도,제주시,용담삼동,33.515359,126.502708,B
5011011100,제주특별자치도,제주시,화북일동,33.520301,126.565986,B
5011011200,제주특별자치도,제주시,화북이동,33.505534,126.562373,B
5011011300,제주특별자치도,제주시,삼양일동,33.526302,126.591785,B
5011011400,제주특별자치도,제주시,삼양이동,33.521862,126.583525,B
5011011500,제주특별자치도,제주시,삼양삼동,33.525431,126.576381,B
5011011600,제주특별자치도,제주시,봉개동,33.484411,126.599039,B
5011011700,제주특별자치도,제주시,아라일동,33.471214,126.545162,B
5011011800,제주특별자치도,제주시,아라이동,33.483651,126.548261,B
5011011900,제주특별자치도,제주시,오라일동,33.49574,126.517606,B
5011012000,제주특별자치도,제주시,오라이동,33.479873,126.510304,B
5011012100,제주특별자치도,제주시,오라삼동,33.495841,126.505522,B
5011012200,제주특별자치도,제주시,노형동,33.481981,126.47636,B
5011012300,제주특별자치도,제주시,외도일동,33.487452,126.429362,B
5011012400,제주특별자치도,제주시,외도이동,33.493609,126.430518,B
5011012500,제주특별자치도,제주시,이호일동,33.499535,126.456617,B
5011012600,제주특별자치도,제주시,이호이동,33.492384,126.460244,B
5011012700,제주특별자치도,제주시,도두일동,33.50299,126.468716,B
5011012800,제주특별자치도,제주시,도두이동,33.500361,126.486253,B
5011012900,제주특별자치도,제주시,도남동,33.493694,126.526311,B
5011013000,제주특별자치도,제주시,도련일동,33.508321,126.585601,B
5011013100,제주특별자치도,제주시,도련이동,33.513994,126.592304,B
5011013200,제주특별자치도,제주시,용강동,33.473929,126.586664,B
5011013300,제주특별자치도,제주시,회천동,33.49708,126.613049,B
5011013400,제주특별자치도,제주시,오등동,33.466872,126.528447,B
5011013500,제주특별자치도,제주시,월평동,33.469065,126.574993,B
5011013600,제주특별자치도,제주시,영평동,33.479533,126.568783,B
5011013700,제주특별자치도,제주시,연동,33.486433,126.492606,B
5011013800,제주특별자치도,제주시,도평동,33.480044,126.45026,B
5011013900,제주특별자치도,제주시,해안동,33.453268,126.462749,B
5011014000,제주특별자치도,제주시,내도동,33.492785,126.441602,B
5011025021,제주특별자치도,제주시,한림읍,33.435583,126.290182,B
5011025022,제주특별자치도,제주시,한림읍,33.428552,126.267673,B
5011025023,제주특별자치도,제주시,한림읍,33.421847,126.274607,B
5011025024,제주특별자치도,제주시,한림읍,33.413025,126.266539,B
5011025025,제주특별자치도,제주시,한림읍,33.35804,126.304332,B
5011025026,제주특별자치도,제주시,한림읍,33.398577,126.270228,B
5011025027,제주특별자치도,제주시,한림읍,33.382787,126.271898,B
5011025028,제주특별자치도,제주시,한림읍,33.403418,126.254192,B
5011025029,제주특별자치도,제주시,한림읍,33.400179,126.293147,B
5011025030,제주특별자치도,제주시,한림읍,33.359277,126.272344,B
5011025031,제주특별자치도,제주시,한림읍,33.392211,126.245439,B
5011025032,제주특별자치도,제주시,한림읍,33.376033,126.216617,B
5011025033,제주특별자치도,제주시,한림읍,33.381424,126.232671,B
5011025034,제주특별자치도,제주시,한림읍,33.349339,126.256582,B
5011025035,제주특별자치도,제주시,한림읍,33.421556,126.263789,B
5011025321,제주특별자치도,제주시,애월읍,33.455354,126.433527,B
5011025323,제주특별자치도,제주시,애월읍,33.469198,126.406908,B
5011025324,제주특별자치도,제주시,애월읍,33.478276,126.378527,B
5011025325,제주특별자치도,제주시,애월읍,33.466118,126.390286,B
5011025326,제주특별자치도,제주시,애월읍,33.470428,126.366593,B
5011025327,제주특별자치도,제주시,애월읍,33.449355,126.389154,B
5011025328,제주특별자치도,제주시,애월읍,33.427706,126.381336,B
5011025329,제주특별자치도,제주시,애월읍,33.448508,126.418341,B
5011025330,제주특별자치도,제주시,애월읍,33.45658,126.352654,B
