base_year_month,bjd,grid_1km,user_cnt
201901,건입동,10004330902,201
201901,건입동,10004330903,31181
201901,건입동,10004331002,6783
201901,건입동,10004331003,15311
201901,건입동,10004331101,29
201901,건입동,10004331102,1996
201901,건입동,10004331103,3224
201901,건입동,10004331104,37
201901,건입동,10004331202,2950
201901,구좌읍,10004322893,42
201901,구좌읍,10004322894,1095
201901,구좌읍,10004322992,78
201901,구좌읍,10004322993,22
201901,구좌읍,10004322997,176
201901,구좌읍,10004322999,1
201901,구좌읍,10004323092,1
201901,구좌읍,10004323099,17
201901,구좌읍,10004323195,47
201901,구좌읍,10004323198,1
201901,구좌읍,10004323297,184
201901,구좌읍,10004323396,1
201901,구좌읍,10004323397,2387
201901,구좌읍,10004323398,795
201901,구좌읍,10004323497,84
201901,구좌읍,10004323599,644
201901,구좌읍,10004323796,114
201901,구좌읍,10004323897,400
201901,구좌읍,10004324499,364
201901,구좌읍,10004324599,160
201901,구좌읍,10004332605,32
201901,구좌읍,10004332606,542
201901,구좌읍,10004332607,1343
201901,구좌읍,10004332706,1
201901,구좌읍,10004332707,286
201901,구좌읍,10004332807,488
201901,구좌읍,10004332903,999
201901,구좌읍,10004332906,608
201901,구좌읍,10004332907,60
201901,구좌읍,10004333000,88
201901,구좌읍,10004333005,24
201901,구좌읍,10004333006,168
201901,구좌읍,10004333007,5131
201901,구좌읍,10004333107,21
201901,구좌읍,10004333201,1
201901,구좌읍,10004333204,385
201901,구좌읍,10004333205,993
201901,구좌읍,10004333206,79
201901,구좌읍,10004333208,314
201901,구좌읍,10004333303,3
201901,구좌읍,10004333304,1
201901,구좌읍,10004333306,2
201901,구좌읍,10004333400,263
201901,구좌읍,10004333404,1
201901,구좌읍,10004333406,668
201901,구좌읍,10004333407,8840
201901,구좌읍,10004333500,834
201901,구좌읍,10004333506,80
201901,구좌읍,10004333507,1335
201901,구좌읍,10004333600,480
201901,구좌읍,10004333602,1039
201901,구좌읍,10004333604,228
201901,구좌읍,10004333605,6
201901,구좌읍,10004333606,17
201901,구좌읍,10004333607,301
201901,구좌읍,10004333705,2825
201901,구좌읍,10004333706,129
201901,구좌읍,10004333707,98
201901,구좌읍,10004333803,109
201901,구좌읍,10004333804,2570
201901,구좌읍,10004333805,1119
201901,구좌읍,10004333902,10
201901,구좌읍,10004333903,6258
201901,구좌읍,10004333904,2531
201901,구좌읍,10004334002,170
201901,구좌읍,10004334003,11177
201901,구좌읍,10004334004,2272
201901,구좌읍,10004334101,11
201901,구좌읍,10004334102,3
201901,구좌읍,10004334103,285
201901,구좌읍,10004334104,95
201901,구좌읍,10004334201,1
201901,구좌읍,10004334203,346
201901,구좌읍,10004334204,451
201901,구좌읍,10004334300,919
201901,구좌읍,10004334302,92
201901,구좌읍,10004334303,68
201901,구좌읍,10004334304,74
201901,구좌읍,10004334400,575
201901,구좌읍,10004334402,70
201901,구좌읍,10004334403,60
201901,구좌읍,10004334500,598
201901,구좌읍,10004334501,312
201901,내도동,10004320199,97
201901,내도동,10004330100,3047
201901,내도동,10004330101,50
201901,내도동,10004330200,107
201901,노형동,10004320398,4875
201901,노형동,10004320399,5251
201901,노형동,10004320497,97
201901,노형동,10004320498,31758
201901,노형동,10004320499,63937
201901,노형동,10004320595,2129
201901,노형동,10004320596,1049
201901,노형동,10004320597,3251
201901,노형동,10004320598,26054
201901,노형동,10004320599,127103
201901,노형동,10004320693,60
201901,노형동,10004330400,38007
201901,노형동,10004330500,42117
201901,도남동,10004320899,22
201901,도남동,10004320998,92
201901,도남동,10004320999,30841
201901,도남동,10004330800,2031
201901,도남동,10004330900,58638
201901,도남동,10004330901,2252
201901,도남동,10004331000,1446
201901,도두이동,10004330402,300
201901,도두이동,10004330500,1968
201901,도두이동,10004330501,1929
201901,도두이동,10004330502,1037
201901,도두이동,10004330600,28
201901,도두이동,10004330601,64
201901,도두일동,10004330301,6456
201901,도두일동,10004330302,2498
201901,도두일동,10004330400,6031
201901,도두일동,10004330401,4182
201901,도두일동,10004330402,6218
201901,도두일동,10004330500,85
201901,도두일동,10004330501,2147
201901,도련이동,10004331502,2978
201901,도련이동,10004331503,2174
201901,도련이동,10004331603,122
201901,도련일동,10004331401,1112
201901,도련일동,10004331402,8726
201901,도련일동,10004331403,25604
201901,도련일동,10004331500,416
201901,도련일동,10004331501,53
201901,도련일동,10004331502,4609
201901,도평동,10004320298,6
201901,도평동,10004320299,1307
201901,도평동,10004320397,1668
201901,도평동,10004320398,772
201901,도평동,10004320399,1197
201901,도평동,10004330200,1
201901,봉개동,10004321599,151
201901,봉개동,10004321699,3719
201901,봉개동,10004321795,39
201901,봉개동,10004321796,49
201901,봉개동,10004321797,720
201901,봉개동,10004321798,71
201901,봉개동,10004321799,188
201901,봉개동,10004321895,97
201901,봉개동,10004321896,70
201901,봉개동,10004331500,11680
201901,봉개동,10004331600,4827
201901,삼도이동,10004330801,182
201901,삼도이동,10004330802,5977
201901,삼도이동,10004330803,5197
201901,삼도이동,10004330901,5564
201901,삼도이동,10004330902,15576
201901,삼도이동,10004330903,31569
201901,삼도일동,10004330801,32632
201901,삼도일동,10004330802,5266
201901,삼도일동,10004330901,13810
201901,삼양삼동,10004331403,636
201901,삼양삼동,10004331404,214
201901,삼양이동,10004331403,14655
201901,삼양이동,10004331404,450
201901,삼양이동,10004331503,14608
201901,삼양이동,10004331504,706
201901,삼양일동,10004331503,223
201901,삼양일동,10004331504,4540
201901,삼양일동,10004331603,927
201901,삼양일동,10004331605,2
201901,아라이동,10004321099,1259
201901,아라이동,10004321198,3731
201901,아라이동,10004321199,12510
201901,아라이동,10004321296,8317
201901,아라이동,10004321299,42
201901,아라이동,10004331000,1909
201901,아라이동,10004331100,24619
201901,아라일동,10004321097,347
201901,아라일동,10004321098,6426
201901,아라일동,10004321099,12030
201901,아라일동,10004321195,34
201901,아라일동,10004321196,1595
201901,아라일동,10004321197,17831
201901,아라일동,10004321198,46406
201901,아라일동,10004321199,1649
201901,아라일동,10004321294,58
201901,아라일동,10004321295,4520
201901,아라일동,10004321296,3658
201901,애월읍,10004228894,3
201901,애월읍,10004228895,3431
201901,애월읍,10004228992,454
201901,애월읍,10004228993,22
201901,애월읍,10004228994,6
201901,애월읍,10004228995,2090
