,emd_nm,1인가구,2인가구,3인가구,4인가구,5인가구,WiFi 접속자수,카드이용자수,자동차등록수,사업체수,총인구수,면수
0,건입동,52131648.0,26065824.0,17377216.0,13032912.0,10426330.0,1018933,763641,4279,750,9857,370
1,구좌읍,68173194.0,34086597.0,22724398.0,17043298.0,13634639.0,565136,952715,9161,1738,16283,4
2,노형동,161846562.0,80923281.0,53948854.0,40461640.0,32369312.0,4834174,4562480,59875,4476,56223,1587
3,도두동,28984338.0,14492169.0,9661446.0,7246084.0,5796868.0,141161,441864,9090,991,3257,897
4,봉개동,35264526.0,17632263.0,11754842.0,8816132.0,7052905.0,393438,362387,3873,269,4936,327
5,삼도1동,46266816.0,23133408.0,15422272.0,11566704.0,9253363.0,919731,614378,15174,1367,14345,151
6,삼도2동,44698590.0,22349295.0,14899530.0,11174648.0,8939718.0,1223869,795022,3530,1029,8662,618
7,삼양동,38835906.0,19417953.0,12945302.0,9708976.0,7767181.0,638591,1042792,12993,1000,25153,656
8,아라동,99335550.0,49667775.0,33111850.0,24833888.0,19867110.0,1552059,2301873,18729,2049,34321,821
9,애월읍,179799018.0,89899509.0,59933006.0,44949754.0,35959804.0,939748,2262602,22731,2514,36550,36
10,연동,170740002.0,85370001.0,56913334.0,42685000.0,34148000.0,3126565,4303620,167593,4649,43217,832
11,오라동,92185338.0,46092669.0,30728446.0,23046334.0,18437068.0,300518,854466,11943,978,14906,971
12,외도동,36835182.0,18417591.0,12278394.0,9208796.0,7367036.0,994026,944828,11724,1185,21741,514
13,용담1동,31223766.0,15611883.0,10407922.0,7805942.0,6244753.0,812415,300783,3257,805,7610,55
14,용담2동,102764184.0,51382092.0,34254728.0,25691046.0,20552837.0,1658664,3166510,20449,1113,15673,773
15,우도면,11454702.0,5727351.0,3818234.0,2863676.0,2290940.0,156445,320454,1254,305,1892,38
16,이도1동,64277928.0,32138964.0,21425976.0,16069482.0,12855586.0,1706470,651811,3063,1532,7989,592
17,이도2동,190753236.0,95376618.0,63584412.0,47688309.0,38150647.0,3076786,3887133,42987,5162,50137,1700
18,이호동,25383768.0,12691884.0,8461256.0,6345942.0,5076754.0,114543,269222,5412,281,4654,804
19,일도1동,21019182.0,10509591.0,7006394.0,5254796.0,4203836.0,1054688,661113,1024,1326,2993,486
20,일도2동,79428300.0,39714150.0,26476100.0,19857075.0,15885660.0,2563285,1787553,14893,2210,34684,690
21,조천읍,103049166.0,51524583.0,34349722.0,25762292.0,20609833.0,1677427,1589216,14437,1873,24718,175
22,추자면,11482398.0,5741199.0,3827466.0,2870600.0,2296480.0,0,46687,825,214,2149,0
23,한경면,27363144.0,13681572.0,9121048.0,6840786.0,5472629.0,296704,376558,5838,720,9447,0
24,한림읍,79479360.0,39739680.0,26493120.0,19869840.0,15895872.0,450801,1377325,12596,2174,25003,53
25,화북동,66748614.0,33374307.0,22249538.0,16687154.0,13349723.0,1346005,1025585,14582,1546,25391,324
