emd_nm,1월방문객수,8월방문객수
제주시 건입동,4182418.9220000003,4615996.850100002
제주시 구좌읍,4630025.321300001,6893152.165800017
제주시 노형동,13591021.726900045,14025682.400199959
제주시 도두동,2348269.590999996,2507425.088000012
제주시 봉개동,2505918.8255999973,3458321.7802999904
제주시 삼도1동,4028351.287999998,3826243.532600006
제주시 삼도2동,3781786.6636999967,3783071.928200011
제주시 삼양동,3318351.424299993,3292408.300199993
제주시 아라동,8063504.028600024,9037742.74670001
제주시 애월읍,13767779.465200003,16535579.009200033
제주시 연동,14829542.03100001,14324587.71780005
제주시 오라동,8031746.457199981,7708227.904400008
제주시 외도동,3220685.6423999923,3044436.325200004
제주시 용담1동,2671214.232699997,2665649.5624999935
제주시 용담2동,8051210.463200009,9577197.897400035
제주시 우도면,769012.5227000009,1145834.401199999
제주시 이도1동,5133289.701799989,5919457.953900012
제주시 이도2동,17075024.901300017,15492444.671299987
제주시 이호동,1927025.073300004,2347765.5812000018
제주시 일도1동,1800221.6016999993,1823867.141100002
제주시 일도2동,7036432.078000006,6513382.5311
제주시 조천읍,7531974.733399989,9914494.09800002
제주시 추자면,945578.1575999969,977335.0264999989
제주시 한경면,2019958.9199000013,2586401.870500005
제주시 한림읍,5602211.825400008,7805394.471399985
제주시 화북동,5632711.404200016,5791550.8151
