행정동,이용자수
건입동,763641
구좌읍,952715
내도동,44624
노형동,4335321
도남동,1158495
도두이동,79221
도두일동,362643
도련이동,59519
도련일동,503354
도평동,55303
봉개동,286064
삼도이동,795022
삼도일동,614378
삼양삼동,9894
삼양이동,386037
삼양일동,83988
아라이동,685037
아라일동,1310607
애월읍,2262602
연동,4303620
영평동,120872
오등동,139576
오라삼동,189391
오라이동,390821
오라일동,274254
외도이동,78839
외도일동,766062
용강동,834
용담삼동,280568
용담이동,2885942
용담일동,300783
우도면,320454
월평동,45781
이도이동,2728638
이도일동,651811
이호이동,143974
이호일동,125248
일도이동,1787553
일도일동,661113
조천읍,1589216
추자면,46687
한경면,376558
한림읍,1377325
해안동,227159
화북이동,276619
화북일동,748966
회천동,75489
